timestamp,protocol,chain,symbol,apy_total,apy_base,apy_reward,tvl_usd,total_supply_usd,total_borrow_usd,utilization_rate,utilization_source,protocol_type,pool_id
2026-03-23 11:33:40 UTC,aave-v3,Arbitrum,USDC,1.4371,1.4371,0.0,107422650,0,0,0.599486,onchain,lending,d9fa8e14-0447-4207-9ae8-7810199dfa1f
2026-03-23 11:33:40 UTC,fluid-lending,Arbitrum,USDC,11.51,10.29,1.22,28699634,0,0,0.0,defillama,lending,4c45cc9e-e1a4-43c9-8a3d-687d96abb07c
2026-03-23 11:33:40 UTC,gains-network,Arbitrum,USDC,6.2814,6.2814,0.0,11152111,0,0,,,perpetuals_vault,c48595c8-49bc-4853-80e4-f18c470bbfc3
2026-03-23 11:33:40 UTC,zerobase-cedefi,Arbitrum,USDT,9.0,7.0,2.0,7948557,0,0,,,cedefi,655edf24-3235-4fe3-a06a-f3bf8b259bc5
2026-03-23 11:33:40 UTC,compound-v3,Arbitrum,USDC,2.4051,2.4051,0.0,6887459,0,0,0.669908,onchain,lending,d9c395b9-00d0-4426-a6b3-572a6dd68e54
2026-03-23 11:33:40 UTC,compound-v3,Arbitrum,USDT,2.4561,2.4561,0.0,6437200,0,0,0.682277,onchain,lending,85247b13-8180-44e7-b38c-4d324cc68a92
2026-03-23 11:33:40 UTC,dolomite,Arbitrum,USDC,3.0202,3.0202,0.0,2643544,0,0,0.0,defillama,lending,d0e11625-79b9-40e3-b01f-a473af961995
2026-03-23 11:33:40 UTC,euler-v2,Arbitrum,USDC,4.1824,4.1824,0.0,2582953,0,0,0.0,defillama,lending,da45ac62-f5e8-4692-b939-cb4a085baa43
2026-03-23 11:33:40 UTC,aave-v3,Arbitrum,DAI,1.7375,1.7375,0.0,1719313,0,0,0.645815,onchain,lending,a8e3d841-2788-4647-ad54-5a36fac451b1
2026-03-23 11:33:40 UTC,beefy,Arbitrum,USDC,2.398,0.0,0.0,1534925,0,0,,,yield_aggregator,d8870f77-a386-4e31-affe-3a77320f041c
2026-03-23 11:33:40 UTC,autofinance,Arbitrum,USDC,4.4871,3.1025,1.3846,1333503,0,0,,,yield_aggregator,8d58514b-1013-4fb0-8cd0-0f1147ed16f4
2026-03-23 11:33:40 UTC,woofi-earn,Arbitrum,USDC,4.7419,4.7419,0.0,1153324,0,0,,,yield_aggregator,218505e7-996f-4a82-a845-6cf85734b00e
2026-03-23 11:33:40 UTC,harmonix-finance,Arbitrum,USDC,4.6107,4.6107,0.0,971866,0,0,,,structured_product,1550613c-d60c-4d78-b370-0a7ec8a24dc7
2026-03-23 11:33:40 UTC,zerobase-cedefi,Arbitrum,USDC,9.0,7.0,2.0,813800,0,0,,,cedefi,03c3a7fe-96e7-438a-98fb-950b438e6ffc
2026-03-23 11:33:40 UTC,aave-v3,Arbitrum,USDC,1.7925,1.7925,0.0,773985,0,0,0.599486,onchain,lending,7aab7b0f-01c1-4467-bc0d-77826d870f19
2026-03-23 11:33:40 UTC,deltaprime,Arbitrum,USDC,6.6009,6.6009,0.0,773542,0,0,0.0,defillama,lending,41ef5890-d6f4-4c54-9c39-4505a7bac672
2026-03-23 11:33:40 UTC,euler-v2,Arbitrum,USDC,5.5102,5.5102,0.0,706003,0,0,0.0,defillama,lending,85f878ab-9ae3-4524-afa5-f1356dfb361f
2026-03-23 11:33:40 UTC,allbridge-classic,Arbitrum,USDC,0.0257,0.0257,0.0,586829,0,0,,,bridge,ce5e5dea-3782-4ce9-8f14-0222450116ae
2026-03-23 11:33:40 UTC,yo-protocol,Arbitrum,USDC,17.1993,5.1993,12.0,568035,0,0,,,unknown,0c795123-f6a0-412f-92e8-11fbb598ac08
2026-03-24 11:35:00 UTC,aave-v3,Arbitrum,USDC,1.43,1.43,0.0,108019946,0,0,0.597889,onchain,lending,d9fa8e14-0447-4207-9ae8-7810199dfa1f
2026-03-24 11:35:00 UTC,fluid-lending,Arbitrum,USDC,5.53,4.4,1.13,31907144,0,0,0.0,defillama,lending,4c45cc9e-e1a4-43c9-8a3d-687d96abb07c
2026-03-24 11:35:00 UTC,gains-network,Arbitrum,USDC,7.251,7.251,0.0,11155076,0,0,,,perpetuals_vault,c48595c8-49bc-4853-80e4-f18c470bbfc3
2026-03-24 11:35:00 UTC,zerobase-cedefi,Arbitrum,USDT,9.0,7.0,2.0,7943901,0,0,,,cedefi,655edf24-3235-4fe3-a06a-f3bf8b259bc5
2026-03-24 11:35:00 UTC,compound-v3,Arbitrum,USDC,2.3647,2.3647,0.0,7239399,0,0,0.659323,onchain,lending,d9c395b9-00d0-4426-a6b3-572a6dd68e54
2026-03-24 11:35:00 UTC,compound-v3,Arbitrum,USDT,2.4484,2.4484,0.0,6498086,0,0,0.680114,onchain,lending,85247b13-8180-44e7-b38c-4d324cc68a92
2026-03-24 11:35:00 UTC,dolomite,Arbitrum,USDC,3.3104,3.3104,0.0,2422633,0,0,0.0,defillama,lending,d0e11625-79b9-40e3-b01f-a473af961995
2026-03-24 11:35:00 UTC,euler-v2,Arbitrum,USDC,3.7175,3.7175,0.0,2383338,0,0,0.0,defillama,lending,da45ac62-f5e8-4692-b939-cb4a085baa43
2026-03-24 11:35:00 UTC,aave-v3,Arbitrum,DAI,1.7368,1.7368,0.0,1721280,0,0,0.645647,onchain,lending,a8e3d841-2788-4647-ad54-5a36fac451b1
2026-03-24 11:35:00 UTC,beefy,Arbitrum,USDC,2.3647,0.0,0.0,1529954,0,0,,,yield_aggregator,d8870f77-a386-4e31-affe-3a77320f041c
2026-03-24 11:35:00 UTC,autofinance,Arbitrum,USDC,4.3079,2.847,1.4609,1337577,0,0,,,yield_aggregator,8d58514b-1013-4fb0-8cd0-0f1147ed16f4
2026-03-24 11:35:00 UTC,woofi-earn,Arbitrum,USDC,4.7419,4.7419,0.0,1153460,0,0,,,yield_aggregator,218505e7-996f-4a82-a845-6cf85734b00e
2026-03-24 11:35:00 UTC,euler-v2,Arbitrum,USDC,4.2341,4.2341,0.0,1056071,0,0,0.0,defillama,lending,85f878ab-9ae3-4524-afa5-f1356dfb361f
2026-03-24 11:35:00 UTC,harmonix-finance,Arbitrum,USDC,4.6162,4.6162,0.0,970341,0,0,,,structured_product,1550613c-d60c-4d78-b370-0a7ec8a24dc7
2026-03-24 11:35:00 UTC,zerobase-cedefi,Arbitrum,USDC,9.0,7.0,2.0,813797,0,0,,,cedefi,03c3a7fe-96e7-438a-98fb-950b438e6ffc
2026-03-24 11:35:00 UTC,aave-v3,Arbitrum,USDC,1.7893,1.7893,0.0,774749,0,0,0.597889,onchain,lending,7aab7b0f-01c1-4467-bc0d-77826d870f19
